[INFO ] 2021-01-11 16:13:58,176 失败:imagefile imgs/manfInfocard/2019062615320294.jpg
[INFO ] 2021-01-11 16:13:58,176 失败:imagefile imgs/manfInfocard/2019041615373886.jpg
[INFO ] 2021-01-11 16:13:58,177 失败:imagefile imgs/manfInfocard/2017041709585029.jpg
[INFO ] 2021-01-11 16:13:58,177 失败:imagefile imgs/manfInfocard/2019110510222811.jpg
[INFO ] 2021-01-11 16:13:58,177 失败:imagefile imgs/manfInfocard/2019071513042056.jpg
[INFO ] 2021-01-11 16:13:58,178 失败:imagefile imgs/manfInfocard/2020102716290963.jpg
[INFO ] 2021-01-11 16:13:58,179 失败:imagefile imgs/manfInfocard/2019121710431685.jpg
[INFO ] 2021-01-11 16:13:58,179 失败:imagefile imgs/manfInfocard/2019121713061357.jpg
[INFO ] 2021-01-11 16:13:58,182 失败:imagefile imgs/manfInfocard/2016032114225926.png
[INFO ] 2021-01-11 16:13:58,182 失败:imagefile imgs/manfInfocard/2020091713404282.jpg
[INFO ] 2021-01-11 16:13:58,183 失败:imagefile imgs/manfInfocard/2017010413581414.jpg
[INFO ] 2021-01-11 16:13:58,183 失败:imagefile imgs/manfInfocard/2017010413582455.jpg
[INFO ] 2021-01-11 16:13:58,183 失败:imagefile imgs/manfInfocard/2017010413583319.jpg
[INFO ] 2021-01-11 16:13:58,184 失败:imagefile imgs/manfInfocard/2017010413584351.jpg
[INFO ] 2021-01-11 16:13:58,184 失败:imagefile imgs/manfInfocard/2017010413585481.jpg
[INFO ] 2021-01-11 16:13:58,185 失败:imagefile imgs/manfInfocard/2017010413590668.jpg
[INFO ] 2021-01-11 16:13:58,185 失败:imagefile imgs/manfInfocard/201701041359222.jpg
[INFO ] 2021-01-11 16:13:58,186 失败:imagefile imgs/manfInfocard/2017010413593980.jpg
[INFO ] 2021-01-11 16:13:58,186 失败:imagefile imgs/manfInfocard/2017010413595055.jpg
[INFO ] 2021-01-11 16:13:58,186 失败:imagefile imgs/manfInfocard/2017010414001150.jpg
[INFO ] 2021-01-11 16:13:58,187 失败:imagefile imgs/manfInfocard/2017010414002694.jpg
[INFO ] 2021-01-11 16:13:58,187 失败:imagefile imgs/manfInfocard/2016032215544642.jpg
[INFO ] 2021-01-11 16:13:58,188 失败:imagefile imgs/manfInfocard/2020081909453966.jpeg
[INFO ] 2021-01-11 16:13:58,188 失败:imagefile imgs/manfInfocard/2016040711114626.jpg
